time_uk,datetime_utc,company,ticker,category_code,category,headline,rns_number,news_id,last_price,pct_change,brief,summary,retail_take,sentiment,source_url
2026-08-18 11:35:00,2026-08-18T10:35:00.000,British American Tobacco PLC,BATS,DSH,Director/PDMR shareholding,Director/PDMR Shareholding,1513R,17744602,4154,0.314,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/british-american-tobacco--bats/director-pdmr-shareholding/9727761
2026-08-18 11:30:00,2026-08-18T10:30:00.000,British American Tobacco PLC,BATS,DSH,Director/PDMR shareholding,Director/PDMR Shareholding,1509R,17744582,4154,0.314,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/british-american-tobacco--bats/director-pdmr-shareholding/9727740
2026-08-18 11:29:35,2026-08-18T10:29:35.000,iShares Physical Metals Plc,,PFT,,Final Terms,1607R,17744577,,,,,,,
2026-08-18 11:28:19,2026-08-18T10:28:19.000,Ocado Group PLC,OCDO,ADM,,Admission to Trading,1606R,17744576,242.4,3.237,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/ocado-group--ocdo/admission-to-trading/9727734
2026-08-18 11:28:00,2026-08-18T10:28:00.000,UK Debt Management Office,,IOD,Issue of debt,Issue of Debt,0818399269,17744575,,,,,,,
2026-08-18 11:27:48,2026-08-18T10:27:48.000,iShares Physical Metals Plc,,PFT,,Final Terms,1602R,17744574,,,,,,,
2026-08-18 11:26:30,2026-08-18T10:26:30.000,iShares Physical Metals Plc,,PFT,,Final Terms,1604R,17744571,,,,,,,
2026-08-18 11:25:04,2026-08-18T10:25:04.000,iShares Physical Metals Plc,,PFT,,Final Terms,1592R,17744567,,,,,,,
2026-08-18 11:24:38,2026-08-18T10:24:38.000,iShares Physical Metals Plc,,PFT,,Final Terms,1598R,17744566,,,,,,,
2026-08-18 11:21:44,2026-08-18T10:21:44.000,Murray Income Trust PLC,MUT,DSH,Director/PDMR shareholding,Director/PDMR Shareholding,1258R,17744552,996,-0.4,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/murray-income-trust--mut/director-pdmr-shareholding/9727709
